agency,complaint_type,descriptor,category,subcategory,raw_llm_response,request_count
DOT,Sidewalk Condition,Defective Hardware,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",348
DOB,BEST/Site Safety,Demolition - Unsafe,Housing & Infrastructure,Building & Utilities,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Building & Utilities""}",345
DEP,Hazardous Materials,Chemical Spill/Release (HA1),Hazardous Conditions,Hazardous Materials & Safety,"{""category"": ""Hazardous Conditions"", ""subcategory"": ""Hazardous Materials & Safety""}",344
DOT,Street Condition,Line/Marking - Faded,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",341
DCWP,Consumer Complaint,E-Cigarette Sales,Consumer & Business Services,Consumer Complaints,"{""category"": ""Consumer & Business Services"", ""subcategory"": ""Consumer Complaints""}",341
DOHMH,Mold,Public Complaint - Comm Location,Housing & Infrastructure,Building & Utilities,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Building & Utilities""}",338
DSNY,Residential Disposal Complaint,Storage Area Not Provided,Environmental Health & Sanitation,Waste Management & Sanitation,"{""category"": ""Environmental Health & Sanitation"", ""subcategory"": ""Waste Management & Sanitation""}",333
DOHMH,Illegal Animal Kept as Pet,Rooster,Environmental Health & Sanitation,Animals & Pests,"{""category"": ""Environmental Health & Sanitation"", ""subcategory"": ""Animals & Pests""}",333
DPR,Animal in a Park,Domestic Strays,Environmental Health & Sanitation,Animals & Pests,"{""category"": ""Environmental Health & Sanitation"", ""subcategory"": ""Animals & Pests""}",332
DOHMH,Food Establishment,Food Temperature,Consumer & Business Services,Consumer Complaints,"{""category"": ""Consumer & Business Services"", ""subcategory"": ""Consumer Complaints""}",329
DOT,Highway Condition,Litter,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",328
DOHMH,Construction Lead Dust,Coming into Apartment,Hazardous Conditions,Hazardous Materials & Safety,"{""category"": ""Hazardous Conditions"", ""subcategory"": ""Hazardous Materials & Safety""}",328
DCWP,Consumer Complaint,"Clothing, Shoe, or Accessories Store",Consumer & Business Services,Consumer Complaints,"{""category"": ""Consumer & Business Services"", ""subcategory"": ""Consumer Complaints""}",327
DOT,Street Sign - Dangling,St Name - Attached to Pole,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",325
DOT,Traffic Signal Condition,Time Switch,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",325
DOT,Street Condition,Crash Cushion Defect,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",323
DOB,Special Projects Inspection Team (SPIT),Privately Owned Public Space/Non-Compliance,Housing & Infrastructure,Building & Utilities,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Building & Utilities""}",322
DOT,Ferry Inquiry,Lost and Found,Government & Community Services,Government Requests & Inquiries,"{""category"": ""Government & Community Services"", ""subcategory"": ""Government Requests & Inquiries""}",318
DSNY,Snow or Ice,Snow Tracking,Environmental Health & Sanitation,Waste Management & Sanitation,"{""category"": ""Environmental Health & Sanitation"", ""subcategory"": ""Waste Management & Sanitation""}",316
DCWP,Consumer Complaint,Furniture Store,Consumer & Business Services,Consumer Complaints,"{""category"": ""Consumer & Business Services"", ""subcategory"": ""Consumer Complaints""}",315
DPR,Uprooted Stump,Remove Stump,Parks & Community,Park Maintenance,"{""category"": ""Parks & Community"", ""subcategory"": ""Park Maintenance""}",313
DOT,Traffic Signal Condition,Support Bracket,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",311
DPR,Illegal Tree Damage,Unauthorized Tree Pruning,Parks & Community,Tree Complaints,"{""category"": ""Parks & Community"", ""subcategory"": ""Tree Complaints""}",310
DOT,Street Sign - Damaged,Street Cleaning - ASP,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",309
DSNY,Highway Condition,Litter,Environmental Health & Sanitation,Waste Management & Sanitation,"{""category"": ""Environmental Health & Sanitation"", ""subcategory"": ""Waste Management & Sanitation""}",306
DOT,Bus Stop Shelter Complaint,Dirty/Graffiti,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",304
DOT,Street Sign - Damaged,Bus Stop,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",302
DEP,Noise,"Noise, Other Animals (NR6)",Environmental Health & Sanitation,Animals & Pests,"{""category"": ""Environmental Health & Sanitation"", ""subcategory"": ""Animals & Pests""}",302
DOHMH,Unsanitary Animal Pvt Property,Other Animal,Environmental Health & Sanitation,Animals & Pests,"{""category"": ""Environmental Health & Sanitation"", ""subcategory"": ""Animals & Pests""}",300
DCWP,Consumer Complaint,"Barber Shop, Beauty Salon, or Nail Salon",Consumer & Business Services,Consumer Complaints,"{""category"": ""Consumer & Business Services"", ""subcategory"": ""Consumer Complaints""}",297
DOHMH,Standing Water,Swimming Pool - Unmaintained,Environmental Health & Sanitation,Waste Management & Sanitation,"{""category"": ""Environmental Health & Sanitation"", ""subcategory"": ""Waste Management & Sanitation""}",295
DOE,School Maintenance,Unclean Condition,Government & Community Services,Parks & Community,"{""category"": ""Government & Community Services"", ""subcategory"": ""Parks & Community""}",295
DOB,General Construction/Plumbing,Posted Notice Or Order Removed/Tampered With,Housing & Infrastructure,Building & Utilities,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Building & Utilities""}",292
DOT,Highway Condition,Graffiti - Highway,Environmental Health & Sanitation,Waste Management & Sanitation,"{""category"": ""Environmental Health & Sanitation"", ""subcategory"": ""Waste Management & Sanitation""}",290
DOE,School Maintenance,Rodents/Mice,Government & Community Services,Parks & Community,"{""category"": ""Government & Community Services"", ""subcategory"": ""Parks & Community""}",290
DOE,School Maintenance,Other School Condition,Government & Community Services,Parks & Community,"{""category"": ""Government & Community Services"", ""subcategory"": ""Parks & Community""}",284
DOT,Street Sign - Missing,Street Cleaning - ASP,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",278
DCWP,Consumer Complaint,Hotel or Motel,Consumer & Business Services,Consumer Complaints,"{""category"": ""Consumer & Business Services"", ""subcategory"": ""Consumer Complaints""}",274
DEP,Air Quality,"Air: Dust, Other (Use Comments) (AE5)",Hazardous Conditions,Hazardous Materials & Safety,"{""category"": ""Hazardous Conditions"", ""subcategory"": ""Hazardous Materials & Safety""}",274
DOE,School Maintenance,Heating Problem,Housing & Infrastructure,Building & Utilities,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Building & Utilities""}",273
DEP,Air Quality,Air: Other Air Problem (Use Comments) (AZZ),Hazardous Conditions,Hazardous Materials & Safety,"{""category"": ""Hazardous Conditions"", ""subcategory"": ""Hazardous Materials & Safety""}",271
TLC,For Hire Vehicle Report,Driver Report - Non Passenger,Consumer & Business Services,Transportation Services,"{""category"": ""Consumer & Business Services"", ""subcategory"": ""Transportation Services""}",271
DOT,Street Light Condition,Lamppost Base Door/Cover Open,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",270
DOT,Highway Condition,Dead Animal,Environmental Health & Sanitation,Animals & Pests,"{""category"": ""Environmental Health & Sanitation"", ""subcategory"": ""Animals & Pests""}",269
DOB,General Construction/Plumbing,Failure to Comply with Vacate Order,Housing & Infrastructure,Building & Utilities,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Building & Utilities""}",268
DEP,Water System,Hyd Valve Box Cover Missing (WV2),Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",262
DEP,Sewer,Defective/Missing Curb Piece (SC4),Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",261
DEP,Hazardous Materials,"Oil Spill On Street, Large (HQL)",Hazardous Conditions,Hazardous Materials & Safety,"{""category"": ""Hazardous Conditions"", ""subcategory"": ""Hazardous Materials & Safety""}",261
DOT,Street Light Condition,New Con Ed Service Request,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",260
DOB,Special Projects Inspection Team (SPIT),Adult Establishment,Consumer & Business Services,Consumer Complaints,"{""category"": ""Consumer & Business Services"", ""subcategory"": ""Consumer Complaints""}",256
DEP,Plant,Plants- Odor Related Problems (PO1),Environmental Health & Sanitation,Waste Management & Sanitation,"{""category"": ""Environmental Health & Sanitation"", ""subcategory"": ""Waste Management & Sanitation""}",251
DOHMH,Mobile Food Vendor,Permit/License/Certificate,Consumer & Business Services,Consumer Complaints,"{""category"": ""Consumer & Business Services"", ""subcategory"": ""Consumer Complaints""}",250
DOT,Sidewalk Condition,Sidewalk Grating - Defective,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",247
DEP,Water Conservation,Water Meter Broken/Leaking - Other (CMO),Hazardous Conditions,Water Quality & Leaks,"{""category"": ""Hazardous Conditions"", ""subcategory"": ""Water Quality & Leaks""}",245
DOT,Street Sign - Dangling,Street Cleaning - ASP,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",244
DCWP,Consumer Complaint,Electronics Store,Consumer & Business Services,Consumer Complaints,"{""category"": ""Consumer & Business Services"", ""subcategory"": ""Consumer Complaints""}",241
EDC,Noise - Helicopter,NYPD,Public Safety & Order,Noise & Disturbances,"{""category"": ""Public Safety & Order"", ""subcategory"": ""Noise & Disturbances""}",240
DOHMH,Indoor Air Quality,Human Feces,Environmental Health & Sanitation,Waste Management & Sanitation,"{""category"": ""Environmental Health & Sanitation"", ""subcategory"": ""Waste Management & Sanitation""}",239
DPR,Animal in a Park,Wildlife Sighting,Government & Community Services,Parks & Community,"{""category"": ""Government & Community Services"", ""subcategory"": ""Parks & Community""}",236
DOT,Street Sign - Damaged,One Way,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",234
DOHMH,Food Establishment,Food Protection,Consumer & Business Services,Consumer Complaints,"{""category"": ""Consumer & Business Services"", ""subcategory"": ""Consumer Complaints""}",228
DSNY,Sanitation Worker or Vehicle Complaint,Unsafe Driving,Public Safety & Order,Non-Emergency Police Matters,"{""category"": ""Public Safety & Order"", ""subcategory"": ""Non-Emergency Police Matters""}",228
DOT,Traffic Signal Condition,Wireless,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",228
DOT,Street Light Condition,Fixture/Luminaire Damaged,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",228
TLC,Green Taxi Complaint,Driver Complaint - Passenger,Consumer & Business Services,Transportation Services,"{""category"": ""Consumer & Business Services"", ""subcategory"": ""Transportation Services""}",226
NYPD,Drinking,After Hours - Licensed Est,Public Safety & Order,Non-Emergency Police Matters,"{""category"": ""Public Safety & Order"", ""subcategory"": ""Non-Emergency Police Matters""}",226
DOB,Plumbing,Sprinkler System - Inadequate,Housing & Infrastructure,Building & Utilities,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Building & Utilities""}",223
DOT,Sidewalk Condition,Dumpster - Construction Waste,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",223
DOT,Highway Condition,Cave-in,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",220
DOHMH,Mobile Food Vendor,Food Temperature,Consumer & Business Services,Consumer Complaints,"{""category"": ""Consumer & Business Services"", ""subcategory"": ""Consumer Complaints""}",218
DOB,General Construction/Plumbing,Illegal Conversion Of Commercial Bldg/Space To Other Uses,Housing & Infrastructure,Building & Utilities,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Building & Utilities""}",217
DOT,Street Light Condition,Fixture/Luminaire Out Of Position,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",214
DOT,Street Light Condition,Lamppost Base Door/Cover Missing,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",212
DEP,Water Conservation,"Wasting Faucets,Sinks,Flushometer,Urinal,Etc. - Private Residence (CWR)",Hazardous Conditions,Water Quality & Leaks,"{""category"": ""Hazardous Conditions"", ""subcategory"": ""Water Quality & Leaks""}",211
DEP,Industrial Waste,Wastewater Into Catch Basin (IEB),Environmental Health & Sanitation,Waste Management & Sanitation,"{""category"": ""Environmental Health & Sanitation"", ""subcategory"": ""Waste Management & Sanitation""}",209
DPR,Animal in a Park,Removing Wildlife,Parks & Community,Park Maintenance,"{""category"": ""Parks & Community"", ""subcategory"": ""Park Maintenance""}",209
